"","CK","SO","SO_UNK","SRV","SITE","RECNO","STN","FOLDER","IN_FILE","OFFSET_N","OFFSET","DURATION","DAY","MONTH","YEAR","DATE","NIGHT","TIME","AM_PM","TOP1MATCH","TOP1DIST","MM_SS","SORTFOLDER","PART","MANUAL_ID","PR","M","F","U","JV","SV","NRES","M_PI","F_PI","U_PI","WHIS_SP","BEG_SP","SRC","SRV1KM","SRV1MILE","SRV2KM","SRV_NOTES","FULL_ID","STOC_BARK","STOC_WHIS","STOC_BEG","STOC_PAIR","STOC_IRREG","STOC_4N","MALE","FEMALE","UNK","JUV","FEMALE_FNLC","MALE_FNLC","FEMALE_FNLC_OR_PAIR","MALE_FNLC_OR_PAIR","datetime","PART_N","timestamp","SITE_STN","REMOVE","STOC_ANY"
"1","","x","","","DRIFT CREEK",1335,19,"Stn_19","COA_DC1746-19_20210616_034602.wav",3456,3456,12,16,6,2021,"06/16/2021","6/15/2021",346,"AM","BRMA",0.998,"57:36","BRMA_Stn_19_Week_04","part_289","BRMA+WHIS+WHIS_SO+(SO_U)","","","","x","","","","","","","SO","","dc1","N","N","N","","BRMA+WHIS+WHIS_SO+(SO_U)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,2021-06-16 03:46:02,289,2021-06-16 04:43:38,"DC_19","n",1
"2","","x","","","DRIFT CREEK",120525,19,"Stn_19","COA_DC1746-19_20210610_044602.wav",1176,1176,12,10,6,2021,"06/10/2021","6/9/2021",446,"AM","GLGN",0.957,"19:36","GLGN_Stn_19_Week_03","part_099","WHIS+CAUS+IXNA+WHIS_SO+(SO_U)","","","","x","","","","","","","SO","","dc1","N","N","N","","WHIS+CAUS+IXNA+WHIS_SO+(SO_U)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,2021-06-10 04:46:02,99,2021-06-10 05:05:38,"DC_19","n",1
"3","","x","","","DRIFT CREEK",120526,19,"Stn_19","COA_DC1746-19_20210614_044602.wav",1548,1548,12,14,6,2021,"06/14/2021","6/13/2021",446,"AM","GLGN",0.973,"25:48","GLGN_Stn_19_Week_03","part_130","WHIS+RAIN+CAUS?+WHIS_SO+(SO_U)","","","","x","","","","","","","SO","","dc1","N","N","N","","WHIS+RAIN+CAUS?+WHIS_SO+(SO_U)",0,1,0,0,0,0,0,0,1,0,0,0,0,0,2021-06-14 04:46:02,130,2021-06-14 05:11:50,"DC_19","n",1
"4","","x","","","DRIFT CREEK",159470,2,"Stn_02","COA_DC1746-02_20210608_231402.wav",636,636,12,8,6,2021,"06/08/2021","6/8/2021",2314,"PM","STOC",0.362,"10:36","STOC_Stn_02_Week_02","part_054","BARK+STOC_IRREG+(SO_U)","","","","x","","","x","","","","","","dc1","N","N","N","","BARK+STOC_IRREG+(SO_U)",1,0,0,0,1,0,0,0,1,0,0,0,0,0,2021-06-08 23:14:02,54,2021-06-08 23:24:38,"DC_02","n",1
"5","","x","","","DRIFT CREEK",159471,2,"Stn_02","COA_DC1746-02_20210608_231402.wav",648,648,12,8,6,2021,"06/08/2021","6/8/2021",2314,"PM","STOC",0.473,"10:48","STOC_Stn_02_Week_02","part_055","STOC_IRREG+WHIS+WHIS_SO+(SO_U)","","","","x","","","x","","","","SO","","dc1","N","N","N","","STOC_IRREG+WHIS+WHIS_SO+(SO_U)",0,1,0,0,1,0,0,0,1,0,0,0,0,0,2021-06-08 23:14:02,55,2021-06-08 23:24:50,"DC_02","n",1
"6","","x","","","DRIFT CREEK",159472,2,"Stn_02","COA_DC1746-02_20210608_231402.wav",708,708,12,8,6,2021,"06/08/2021","6/8/2021",2314,"PM","STOC",0.946,"11:48","STOC_Stn_02_Week_02","part_060","STOC_IRREG+STOC+(SO_F)","","","x","","","","x","","","","","","dc1","N","N","N","","STOC_IRREG+STOC+(SO_F)",0,0,0,0,1,1,0,1,0,0,1,0,1,0,2021-06-08 23:14:02,60,2021-06-08 23:25:50,"DC_02","n",1
"7","","x","","","DRIFT CREEK",159473,2,"Stn_02","COA_DC1746-02_20210608_231402.wav",720,720,12,8,6,2021,"06/08/2021","6/8/2021",2314,"PM","STOC",0.245,"12:00","STOC_Stn_02_Week_02","part_061","STOC_IRREG+(SO_F)","","","x","","","","x","","","","","","dc1","N","N","N","","STOC_IRREG+(SO_F)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,2021-06-08 23:14:02,61,2021-06-08 23:26:02,"DC_02","n",1
"8","","x","","","DRIFT CREEK",159474,2,"Stn_02","COA_DC1746-02_20210608_231402.wav",732,732,12,8,6,2021,"06/08/2021","6/8/2021",2314,"PM","STOC",0.018,"12:12","STOC_Stn_02_Week_02","part_062","STOC_IRREG+(SO_F)","","","x","","","","x","","","","","","dc1","N","N","N","","STOC_IRREG+(SO_F)",0,0,0,0,1,0,0,1,0,0,0,0,0,0,2021-06-08 23:14:02,62,2021-06-08 23:26:14,"DC_02","n",1
"9","","x","","","DRIFT CREEK",159475,2,"Stn_02","COA_DC1746-02_20210608_231402.wav",756,756,12,8,6,2021,"06/08/2021","6/8/2021",2314,"PM","STOC",0.776,"12:36","STOC_Stn_02_Week_02","part_064","STOC_IRREG+STOC+(SO_F)","","","x","","","","x","","","","","","dc1","N","N","N","","STOC_IRREG+STOC+(SO_F)",0,0,0,0,1,1,0,1,0,0,1,0,1,0,2021-06-08 23:14:02,64,2021-06-08 23:26:38,"DC_02","n",1
"10","","x","","","DRIFT CREEK",159476,2,"Stn_02","COA_DC1746-02_20210608_231402.wav",804,804,12,8,6,2021,"06/08/2021","6/8/2021",2314,"PM","STOC",0.987,"13:24","STOC_Stn_02_Week_02","part_068","STOC+(SO_F)","","","x","","","","x","","","","","","dc1","N","N","N","","STOC+(SO_F)",0,0,0,0,0,1,0,1,0,0,1,0,1,0,2021-06-08 23:14:02,68,2021-06-08 23:27:26,"DC_02","n",1
