"","SITESTN","start","stop","duration","STOC_ANY_N","STOC_4N_N","STOC_IRREG_N","STOC_BARK_N","STOC_WHIS_N","STOC_BEG_N","STOC_PAIR_N","FEMALE_N","MALE_N","UNK_N","JUV_N","reproState","Distance","XNAD83FP","YNAD83FP","dist_intended"
"1","DC_01",2021-05-27,2021-09-08,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",3018.40438,423838,4925278,3000
"2","DC_02",2021-05-26,2021-09-07,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2657.769365,424844,4925279,2646
"3","DC_03",2021-05-26,2021-09-07,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2605.505709,425813,4925238,2646
"4","DC_04",2021-05-26,2021-09-07,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",3059.737407,426894,4925320,3000
"5","DC_05",2021-05-27,2021-09-08,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2643.33161,423372,4924413,2646
"6","DC_06",2021-05-26,2021-06-02,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2000.804338,424368,4924409,2000
"7","DC_07",2021-05-26,2021-09-08,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",1741.447961,425290,4924412,1732
"8","DC_08",2021-05-26,2021-09-12,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",1999.691226,426350,4924410,2000
"9","DC_09",2021-05-26,2021-09-07,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2689.8078,427382,4924447,2646
"10","DC_10",2021-05-27,2021-09-08,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2733.1566,422768,4923536,2646
"11","DC_11",2021-05-26,2021-07-03,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",1713.336219,424101,4923833,1732
"12","DC_12",2021-05-26,2021-09-08,105,4,2,0,1,1,0,0,1,1,2,0,"fledged",1090.605795,424766,4923586,1000
"13","DC_13",2021-05-26,2021-07-12,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",1000.162487,425840,4923550,1000
"14","DC_14",2021-05-26,2021-09-07,104,32,25,2,3,9,0,4,7,24,5,0,"fledged",1709.926899,426836,4923537,1732
"15","DC_15",2021-05-26,2021-06-27,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2777.787969,427956,4923663,2646
"16","DC_16",2021-05-27,2021-09-08,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",3013.013442,422348,4922681,3000
"17","DC_17",2021-05-27,2021-09-07,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",1857.838798,423508,4922538,2000
"18","DC_18",2021-05-26,2021-09-10,107,26,15,3,2,6,4,0,6,9,8,4,"fledged",752.032579,424609,4922679,1000
"19","DC_19",2021-05-26,2021-09-10,107,802,389,59,25,456,296,141,171,437,318,296,"fledged",0,425361,4922672,0
"20","DC_20",2021-05-26,2021-09-07,104,6,5,1,2,0,0,0,0,5,1,0,"fledged",987.072946,426348,4922684,1000
"21","DC_21",2021-05-26,2021-09-07,104,6,0,0,0,6,0,0,0,0,6,0,"fledged",1973.228066,427334,4922702,2000
"22","DC_22",2021-05-26,2021-09-10,107,1,1,0,0,0,0,0,0,1,0,0,"fledged",2991.060347,428352,4922691,3000
"23","DC_23",2021-05-27,2021-09-07,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2489.584102,423031,4921795,2646
"24","DC_24",2021-05-27,2021-09-07,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",1726.942385,423864,4921811,1732
"25","DC_25",2021-05-27,2021-09-07,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",983.473436,424843,4921836,1000
"26","DC_26",2021-05-26,2021-09-07,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",957.635108,425929,4921901,1000
"27","DC_27",2021-05-26,2021-09-07,104,14,1,6,1,6,0,0,1,0,13,0,"fledged",1715.1618,426853,4921826,1732
"28","DC_28",2021-05-26,2021-09-07,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2636.725431,427826,4921736,2646
"29","DC_29",2021-05-27,2021-09-07,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2684.360073,423311,4920939,2646
"30","DC_30",2021-05-27,2021-09-07,103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",1948.402679,424354,4921004,2000
"31","DC_31",2021-05-26,2021-09-09,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",1719.508069,425289,4920954,1732
"32","DC_32",2021-05-26,2021-09-09,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",1966.208789,426342,4920968,2000
"33","DC_33",2021-05-26,2021-09-07,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2594.578964,427345,4921000,2646
"34","DC_34",2021-05-27,2021-09-08,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",3049.830323,423749,4920083,3000
"35","DC_35",2021-05-27,2021-08-23,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2657.416038,424775,4920080,2646
"36","DC_36",2021-05-26,2021-09-09,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",2620.690939,425786,4920086,2646
"37","DC_37",2021-05-26,2021-09-08,105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fledged",3032.818161,426880,4920047,3000
"38","MC_01",2021-04-29,2021-08-30,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",3203.474676,449482,4882707,3000
"39","MC_02",2021-04-29,2021-08-30,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",2668.300583,450523,4882506,2646
"40","MC_03",2021-04-28,2021-08-30,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",2521.93517,451499,4882347,2646
"41","MC_04",2021-04-29,2021-08-31,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",2956.44178,452407,4882470,3000
"42","MC_05",2021-04-28,2021-08-30,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",2516.826971,448992,4881415,2646
"43","MC_06",2021-04-29,2021-09-01,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",2023.798409,449993,4881642,2000
"44","MC_07",2021-04-28,2021-09-01,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",1718.018626,450993,4881596,1732
"45","MC_08",2021-04-28,2021-09-01,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",1968.825538,451990,4881571,2000
"46","MC_09",2021-04-29,2021-08-30,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",2533.838985,452991,4881426,2646
"47","MC_10",2021-04-28,2021-08-30,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",2576.10947,448549,4880716,2646
"48","MC_11",2021-04-28,2021-08-26,120,1,0,0,1,0,0,0,0,0,1,0,"nest",1723.713723,449490,4880736,1732
"49","MC_12",2021-04-28,2021-08-31,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",1020.995593,450441,4880742,1000
"50","MC_13",2021-04-28,2021-07-11,74,9,4,5,0,0,0,0,0,9,0,0,"nest",988.694594,451471,4880739,1000
"51","MC_14",2021-04-29,2021-08-30,123,2,2,0,0,0,0,0,0,2,0,0,"nest",1737.354886,452494,4880739,1732
"52","MC_15",2021-04-29,2021-08-31,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",2776.093658,453495,4881064,2646
"53","MC_16",2021-04-28,2021-08-30,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",2994.024048,447991,4879866,3000
"54","MC_17",2021-04-28,2021-08-30,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",1997.036054,448988,4879866,2000
"55","MC_18",2021-04-28,2021-08-31,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",1043.02349,449942,4879871,1000
"56","MC_19",2021-04-28,2021-08-31,125,1801,184,1166,15,716,314,247,256,1416,366,314,"nest",0,450985,4879878,0
"57","MC_20",2021-04-28,2021-08-31,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",1053.296729,452038,4879853,1000
"58","MC_21",2021-04-29,2021-08-20,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"nest",1948.00924,452933,4879872,2000
