trapN,x,y
1,-1.5,2.598076211
2,-0.5,2.598076211
3,0.5,2.598076211
4,1.5,2.598076211
5,-2,1.732050808
6,-1,1.732050808
7,0,1.732050808
8,1,1.732050808
9,2,1.732050808
10,-2.5,0.866025404
11,-1.5,0.866025404
12,-0.5,0.866025404
13,0.5,0.866025404
14,1.5,0.866025404
15,2.5,0.866025404
16,-3,0
17,-2,0
18,-1,0
19,0,0
20,1,0
21,2,0
22,3,0
23,-2.5,-0.866025404
24,-1.5,-0.866025404
25,-0.5,-0.866025404
26,0.5,-0.866025404
27,1.5,-0.866025404
28,2.5,-0.866025404
29,-2,-1.732050808
30,-1,-1.732050808
31,0,-1.732050808
32,1,-1.732050808
33,2,-1.732050808
34,-1.5,-2.598076211
35,-0.5,-2.598076211
36,0.5,-2.598076211
37,1.5,-2.598076211
